t_sim;S_sim;I_sim;R_sim;R0_sim
0;0.9999;0.0001;0;1.1
1;0.999877530864198;0.000102021765432099;2.02434595061728e-05;1.1
2;0.999854267489712;0.00010413266255144;4.13908065843621e-05;1.1
3;0.999830783264746;0.000106276750342936;6.28740438957476e-05;1.1
4;0.99980729903978;0.000108420838134431;8.43572812071331e-05;1.1
5;0.999783814814815;0.000110564925925926;0.000105840518518519;1.1
6;0.99975977327493;0.000112756474406207;0.000127806847088052;1.1
7;0.999732722234484;0.000115204310605932;0.000152381868451583;1.1
8;0.999705671194037;0.000117652146805657;0.000176956889815113;1.1
9;0.999678620153591;0.000120099983005382;0.000201531911178644;1.1
10;0.999651569113145;0.000122547819205107;0.000226106932542175;1.1
11;0.999624518072698;0.000124995655404832;0.000250681953905706;1.1
12;0.999597467032252;0.000127443491604557;0.000275256975269237;1.1
13;0.999570415991806;0.000129891327804282;0.000299831996632768;1.1
14;0.999543364951359;0.000132339164004007;0.000324407017996299;1.1
15;0.99951504313018;0.000134903152750371;0.000350168285974705;1.10150861663942
16;0.999484034504144;0.000137712722200297;0.000378437628779764;1.10620689331153
17;0.999453025878108;0.000140522291650223;0.000406706971584823;1.11090516998365
18;0.999422017252072;0.000143331861100148;0.000434976314389882;1.11560344665577
19;0.999391008626036;0.000146141430550074;0.000463245657194941;1.12030172332788
20;0.99936;0.000148951;0.000491515;1.125
21;0.999324938271605;0.000153478555555556;0.000521850024691358;1.15
22;0.999287790123457;0.000158309897119342;0.000554243304526749;1.15
23;0.999249600823045;0.000163254314128944;0.000587403030178326;1.15
24;0.999211411522634;0.000168198731138546;0.000620562755829904;1.15
25;0.999173222222222;0.000173143148148148;0.000653722481481481;1.15
26;0.999134233082707;0.000178193383458647;0.000687599721804511;1.15093984962406
27;0.99909092481203;0.000183815037593985;0.000725351541353384;1.15695488721805
28;0.999047616541353;0.000189436691729323;0.000763103360902256;1.16296992481203
29;0.999004308270677;0.000195058345864662;0.000800855180451128;1.16898496240601
30;0.998961;0.00020068;0.000838607;1.175
31;0.998911197530864;0.000208850691358025;0.000879723222222222;1.2
32;0.998857436213992;0.000217765917695473;0.000924620226337448;1.2
33;0.998801908093278;0.000226958784636488;0.000970926508916324;1.2
34;0.998746379972565;0.000236151651577503;0.0010172327914952;1.2
35;0.998690851851852;0.000245344518518518;0.00106353907407407;1.2
36;0.99863369924812;0.000254805323308271;0.0011112084962406;1.20093984962406
